Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
02/07/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.2,3.0
02/07/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,-1.0
02/07/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.9,1.0
02/07/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.5,6.0
02/07/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.2,6.0
02/07/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,7.0
02/07/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.5,6.0
02/07/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.2,7.0
02/07/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,11.0
02/07/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.8,8.0
02/07/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,8.0
02/07/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.6,7.0
02/07/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.7,4.0
02/07/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.0,5.0
02/07/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.9,5.0
02/07/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.2,9.0
02/07/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.7,6.0
02/07/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.7,5.0
02/07/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.9,10.0
02/07/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,7.0
02/07/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.7,6.0
02/07/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.4,7.0
02/07/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.2,14.0
02/07/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.9,10.0
