Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
07/02/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.8,24.0
07/02/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.6,25.0
07/02/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.9,23.0
07/02/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.4,20.0
07/02/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,22.0
07/02/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.4,17.0
07/02/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.2,13.0
07/02/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.1,15.0
07/02/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.4,21.0
07/02/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.2,16.0
07/02/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.2,26.0
07/02/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.8,23.0
07/02/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.3,27.0
07/02/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,23.7,29.0
07/02/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.5,26.0
07/02/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.4,33.0
07/02/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,23.2,37.0
07/02/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.6,45.0
07/02/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.2,46.0
07/02/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.8,45.0
07/02/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,20.7,44.0
07/02/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.1,38.0
07/02/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.8,34.0
07/02/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.1,30.0
