Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
05/21/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,9.0
05/21/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.4,8.0
05/21/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.6,14.0
05/21/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.5,21.0
05/21/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,13.0
05/21/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.4,29.0
05/21/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.7,25.0
05/21/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.1,26.0
05/21/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,20.2,33.0
05/21/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,22.0
05/21/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.8,22.0
05/21/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.6,28.0
05/21/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.9,20.0
05/21/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.3,25.0
05/21/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.4,30.0
05/21/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.8,26.0
05/21/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.3,26.0
05/21/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.1,19.0
05/21/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.6,32.0
05/21/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,20.7,42.0
05/21/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.8,35.0
05/21/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.5,34.0
05/21/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.1,33.0
05/21/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.6,31.0
