Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
12/12/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.8,40.0
12/12/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.5,32.0
12/12/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,45.0
12/12/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.8,40.0
12/12/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.9,42.0
12/12/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.4,30.0
12/12/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,29.0
12/12/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,24.0
12/12/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.2,27.0
12/12/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.2,23.0
12/12/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.8,21.0
12/12/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.5,20.0
12/12/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.0,21.0
12/12/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,27.0
12/12/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.4,37.0
12/12/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.3,51.0
12/12/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.1,57.0
12/12/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.6,45.0
12/12/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.1,52.0
12/12/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.9,30.0
12/12/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,28.0
12/12/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,35.0
12/12/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,26.0
12/12/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,23.0
