Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
04/14/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.4,9.0
04/14/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.7,4.0
04/14/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,2.3,1.0
04/14/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.5,1.0
04/14/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.6,9.0
04/14/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.4,7.0
04/14/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,7.0
04/14/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,9.0
04/14/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.1,12.0
04/14/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.5,11.0
04/14/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.1,10.0
04/14/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.3,11.0
04/14/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.2,10.0
04/14/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.9,11.0
04/14/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,9.0
04/14/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.4,6.0
04/14/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,8.0
04/14/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.4,6.0
04/14/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,2.5,4.0
04/14/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,2.0,6.0
04/14/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.0,5.0
04/14/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,4.0
04/14/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.5,8.0
04/14/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.2,6.0
