Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
09/06/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.1,34.0
09/06/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,36.0
09/06/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.5,38.0
09/06/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.4,42.0
09/06/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.6,41.0
09/06/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.0,40.0
09/06/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.1,40.0
09/06/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.6,42.0
09/06/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.2,39.0
09/06/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,26.6,131.0
09/06/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.8,51.0
09/06/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.8,48.0
09/06/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.1,46.0
09/06/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.4,50.0
09/06/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.4,79.0
09/06/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,24.1,74.0
09/06/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,25.1,79.0
09/06/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.2,68.0
09/06/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.5,74.0
09/06/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,23.2,59.0
09/06/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.4,42.0
09/06/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.7,40.0
09/06/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.8,83.0
09/06/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.0,50.0
