Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
10/24/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,26.0
10/24/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.6,29.0
10/24/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.6,30.0
10/24/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.6,31.0
10/24/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.8,32.0
10/24/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.1,39.0
10/24/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.7,43.0
10/24/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.0,39.0
10/24/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.4,31.0
10/24/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.9,31.0
10/24/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.7,32.0
10/24/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.7,40.0
10/24/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.2,38.0
10/24/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.0,40.0
10/24/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.5,46.0
10/24/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.4,61.0
10/24/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.0,53.0
10/24/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.4,56.0
10/24/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.9,58.0
10/24/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,30.5,67.0
10/24/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,28.6,59.0
10/24/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,23.2,56.0
10/24/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.7,36.0
10/24/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,20.0
