Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
11/01/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.0,8.0
11/01/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.0,11.0
11/01/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.6,15.0
11/01/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.3,15.0
11/01/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,22.0
11/01/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.6,35.0
11/01/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.6,27.0
11/01/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.1,24.0
11/01/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.9,28.0
11/01/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.8,25.0
11/01/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,27.0
11/01/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.7,18.0
11/01/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.5,23.0
11/01/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.1,26.0
11/01/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.8,34.0
11/01/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.2,42.0
11/01/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.0,43.0
11/01/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.5,43.0
11/01/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.5,33.0
11/01/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.8,31.0
11/01/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.7,26.0
11/01/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,27.0
11/01/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.4,25.0
11/01/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,26.0
