Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
02/09/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.5,14.0
02/09/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,11.0
02/09/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.7,13.0
02/09/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,12.0
02/09/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.7,12.0
02/09/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.6,16.0
02/09/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.6,11.0
02/09/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.4,7.0
02/09/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.4,7.0
02/09/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,10.0
02/09/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.5,14.0
02/09/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.7,8.0
02/09/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.2,8.0
02/09/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.2,14.0
02/09/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.2,19.0
02/09/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.5,15.0
02/09/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.9,21.0
02/09/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,20.0
02/09/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.0,8.0
02/09/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.5,7.0
02/09/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.0,13.0
02/09/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,0.3,14.0
02/09/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,2.5,14.0
02/09/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.0,15.0
