Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
03/05/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,17.0
03/05/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,18.0
03/05/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,16.0
03/05/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.0,16.0
03/05/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.4,21.0
03/05/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.6,21.0
03/05/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,25.0
03/05/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.3,29.0
03/05/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.1,22.0
03/05/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.8,22.0
03/05/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,18.0
03/05/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.7,17.0
03/05/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.6,22.0
03/05/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.1,20.0
03/05/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.1,25.0
03/05/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,25.0
03/05/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,19.0
03/05/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.4,24.0
03/05/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.9,18.0
03/05/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.2,26.0
03/05/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,29.0
03/05/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.4,29.0
03/05/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.4,19.0
03/05/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,22.0
