Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
06/28/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,28.0
06/28/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.1,24.0
06/28/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.1,25.0
06/28/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.6,27.0
06/28/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.6,26.0
06/28/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.9,21.0
06/28/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.2,26.0
06/28/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.7,22.0
06/28/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.1,24.0
06/28/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.3,26.0
06/28/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.6,30.0
06/28/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.4,24.0
06/28/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,23.0
06/28/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,25.0
06/28/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.1,27.0
06/28/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.6,30.0
06/28/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.6,32.0
06/28/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.0,36.0
06/28/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.8,43.0
06/28/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.4,43.0
06/28/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.0,44.0
06/28/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.6,39.0
06/28/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.8,34.0
06/28/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.8,35.0
