Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
06/21/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.1,32.0
06/21/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.6,31.0
06/21/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.9,31.0
06/21/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.5,27.0
06/21/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.2,23.0
06/21/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.7,22.0
06/21/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.6,23.0
06/21/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.1,29.0
06/21/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.9,27.0
06/21/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.5,29.0
06/21/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,21.0
06/21/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.5,25.0
06/21/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.3,23.0
06/21/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.3,29.0
06/21/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.3,35.0
06/21/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.5,34.0
06/21/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.9,55.0
06/21/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.9,59.0
06/21/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,20.4,52.0
06/21/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.5,49.0
06/21/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,20.0,48.0
06/21/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,20.9,48.0
06/21/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.0,42.0
06/21/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.0,36.0
