Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
01/15/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.5,21.0
01/15/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.1,21.0
01/15/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.4,20.0
01/15/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.6,28.0
01/15/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.9,26.0
01/15/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,27.4,35.0
01/15/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,28.6,37.0
01/15/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,25.0,34.0
01/15/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,26.1,40.0
01/15/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,23.4,34.0
01/15/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.2,29.0
01/15/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.8,29.0
01/15/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,20.3,27.0
01/15/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.5,26.0
01/15/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.2,30.0
01/15/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.8,35.0
01/15/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,25.7,39.0
01/15/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,24.2,34.0
01/15/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,25.2,36.0
01/15/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.2,30.0
01/15/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,23.9,38.0
01/15/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.6,33.0
01/15/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.4,28.0
01/15/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.1,29.0
