Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
11/21/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.2,37.0
11/21/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.5,41.0
11/21/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.8,49.0
11/21/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,23.1,45.0
11/21/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.4,47.0
11/21/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.5,49.0
11/21/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.4,48.0
11/21/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.1,41.0
11/21/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.1,35.0
11/21/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.1,30.0
11/21/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.8,28.0
11/21/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,25.0
11/21/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.4,24.0
11/21/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.9,33.0
11/21/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.6,29.0
11/21/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.5,31.0
11/21/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.5,36.0
11/21/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.1,28.0
11/21/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.6,25.0
11/21/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.5,18.0
11/21/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,2.3,16.0
11/21/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.3,27.0
11/21/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.9,27.0
11/21/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,26.0
