Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
05/19/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,13.0
05/19/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,10.0
05/19/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.1,10.0
05/19/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.2,6.0
05/19/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.5,7.0
05/19/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.1,11.0
05/19/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.1,7.0
05/19/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.7,8.0
05/19/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.1,11.0
05/19/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.4,12.0
05/19/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.5,14.0
05/19/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.8,10.0
05/19/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,9.0
05/19/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,7.0
05/19/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.1,4.0
05/19/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.1,8.0
05/19/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,13.0
05/19/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,13.0
05/19/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.6,13.0
05/19/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.6,21.0
05/19/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,20.0
05/19/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.2,17.0
05/19/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.6,12.0
05/19/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,12.0
