Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
11/15/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,16.0
11/15/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,18.0
11/15/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.7,23.0
11/15/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,24.0
11/15/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.8,24.0
11/15/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,23.0
11/15/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.0,24.0
11/15/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.5,27.0
11/15/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,21.0
11/15/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.6,27.0
11/15/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.1,24.0
11/15/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.7,23.0
11/15/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.0,20.0
11/15/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.8,23.0
11/15/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.3,31.0
11/15/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.5,34.0
11/15/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.9,30.0
11/15/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.5,33.0
11/15/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.7,28.0
11/15/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.5,25.0
11/15/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,30.0
11/15/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,34.0
11/15/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,29.0
11/15/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.7,22.0
