Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
06/09/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.5,6.0
06/09/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.9,7.0
06/09/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.9,8.0
06/09/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,10.0
06/09/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.7,7.0
06/09/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.7,5.0
06/09/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.7,5.0
06/09/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.5,11.0
06/09/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,11.0
06/09/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.4,12.0
06/09/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,7.0
06/09/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.7,7.0
06/09/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.0,11.0
06/09/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.5,10.0
06/09/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.4,13.0
06/09/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.7,7.0
06/09/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,7.0
06/09/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.2,9.0
06/09/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.7,7.0
06/09/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.6,17.0
06/09/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.6,18.0
06/09/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,17.0
06/09/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,12.0
06/09/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.9,12.0
