Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
03/10/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.8,22.0
03/10/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.6,19.0
03/10/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.1,22.0
03/10/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.9,23.0
03/10/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.7,20.0
03/10/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.4,19.0
03/10/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.8,29.0
03/10/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.8,30.0
03/10/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.1,23.0
03/10/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.6,23.0
03/10/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,18.0
03/10/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,21.0
03/10/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,19.0
03/10/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.7,15.0
03/10/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,19.0
03/10/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.2,20.0
03/10/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.6,11.0
03/10/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.2,21.0
03/10/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.7,21.0
03/10/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.4,19.0
03/10/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.4,18.0
03/10/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.2,7.0
03/10/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.2,11.0
03/10/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.2,9.0
