School,Street Address,Street Zip,Latitude,Longitude
Huntington Drive Elementary,4435 North Huntington Dr.,90032-2641,34.082564,-118.191384
Huntington Park Baptist Elementary School,Information Redacted,90255,No Data,No Data
Huntington Park Elementary,6055 Corona Ave.,90255-3332,33.985283,-118.194931
Huntington Park Senior High,6020 Miles Ave.,90255-3109,33.986707,-118.219210
Huntington Park/Bell Community Adult,2945 Belgrave Ave.,90255,33.987327,-118.216043
ICEF Innovation Los Angeles Charter,5029 South Vermont Ave.,90043-2907,33.997092,-118.291882
ICEF Lou Dantzler Preparatory Academy,5940 South Budlong Ave.,90044-2815,33.986184,-118.293935
ICEF View Park Preparatory Elementary,5311 South Crenshaw Blvd.,90043-1809,33.994362,-118.331353
ICEF View Park Preparatory High,5701 South Crenshaw Blvd.,90043-2409,33.989720,-118.331079
ICEF View Park Preparatory Middle,5311 Crenshaw Blvd.,90043-1809,33.994362,-118.331353
ICEF Vista Elementary Academy,4471 Inglewood Blvd.,90066-6209,33.995110,-118.418188
ICEF Vista Middle Academy,4471 Inglewood Blvd.,90066-6209,33.995110,-118.418188
ICL Academy,3705 W Pico Blvd #564,90019-3451,34.047545,-118.321527
IDEAL academy for Exceptional Learners,5567 Reseda Blvd Suiit108,91356,34.171592,-118.536405
Imani Enrichment Academy of Learning,Information Redacted,90047-0047,No Data,No Data
Immaculate Conception,830 Green Ave.,90017-4313,34.051275,-118.271258
Immaculate Heart Middle and High School,5515 Franklin Ave,90028-5901,34.106195,-118.310671
Immaculate Heart of Mary Elementary,1055 North Alexandria Ave.,90029-2517,34.090197,-118.298017
InArt School,Information Redacted,90010-2823,Information Redacted,Information Redacted
Independence Continuation,6501 Balboa Blvd.,91406-5526,34.189853,-118.502235
Independence Elementary,8435 Victoria Ave.,90280-2353,33.959726,-118.209213
Indian Springs Continuation,1441 South Barrington Ave.,90025-2378,No Data,No Data
Ingenium Charter,22250 Elkwood St.,91304-5501,34.211776,-118.611056
Ingenium Charter Middle,7330 Winnetka Ave.,91306-2905,34.202184,-118.568852
Inner City College Prep of Los Angeles,Information Redacted,90043,No Data,No Data
Institute for Maximum Human Potential,Information Redacted,90002,No Data,No Data
INSTITUTE OF ISLAMIC STUDIES-Q,Information Redacted,90018,No Data,No Data
Integrated Pathways to Knowledge,Information Redacted,90065,No Data,No Data
Interamerican Adult School,852 W Florence Ave.,90044-5105,33.974407,-118.288955
International  Children's Academy,Information Redacted,90035-1505,Information Redacted,Information Redacted
International Academy,Information Redacted,90011-1609,Information Redacted,Information Redacted
International School of Los Angeles-LF,4155 Russell Ave.,90027-4509,34.104534,-118.279716
International School of Los Angeles–WV,5933 Lindley Ave.,91356-1723,34.178322,-118.528812
International Studies Learning Center at Legacy High School Complex,5225 Tweedy Blvd.,90280-5332,33.941328,-118.178946
Intiwasi Elementary,9017 W Pico Blvd,90035-1309,34.055460,-118.388126
Into His Glory,Information Redacted,91606-2069,Information Redacted,Information Redacted
Invictus Leadership Academy,4928 South Western Ave.,90047-2326,33.998394,-118.308676
Iovine and Young Center,4120 11th Ave.,90008-3712,34.009305,-118.329211
ISANA Cardinal Academy,7330 Bakman Ave.,91352-4914,34.203587,-118.377862
ISANA Himalia Academy,4607 South Central Ave.,90011-5456,34.001863,-118.253001
ISANA Nascent Academy,3417 West Jefferson Blvd.,90018-3235,34.025868,-118.333343
ISANA Octavia Academy,3010 Estara Ave.,90065-2205,34.115657,-118.240787
ISANA Palmati Academy,6501 Laurel Canyon Blvd.,91606-1520,34.189605,-118.397577
ISKCON INTERNATIONAL,Information Redacted,90034,No Data,No Data
Islah Academy,2900 Slauson Ave.,90043-2505,33.984915,-118.153788
Ivanhoe Elementary,2828 Herkimer St.,90039-2010,34.109025,-118.267303
Ivie League Christian Preschool,Information Redacted,90043-2718,Information Redacted,Information Redacted
Ivy Academia,5975 Shoup Ave.,91367-3329,34.178371,-118.615539
"Ivy Bound Academy Math, Science, and Technology Charter Middle 2",20040 Parthenia St.,91324-3222,34.228191,-118.569851
"Ivy Bound Academy of Math, Science, and Technology Charter Middle",15355 Morrison St.,91403-1514,34.160903,-118.468071
Ivy League Royal Academy,3315 Barham Blvd.,90068-1450,34.131340,-118.345068
Ivy League Royal Academy,Information Redacted,91316-1508,Information Redacted,Information Redacted
Ivy League Royal Academy,17329 Burbank Blvd.,91316-1733,34.172551,-118.510893
Ivy Road School,2823 W 8Th St,90005-1236,34.057960,-118.287362
J J Academy,4750 Kester Ave Apt 19,91403-2007,34.157054,-118.457152
J.C. Academy,Information Redacted,91335,Information Redacted,Information Redacted
Jack London Community Day,12924-A Oxnard St.,91401,34.178640,-118.415260
Jack London Continuation,12924 Oxnard St.,91401-4104,34.179367,-118.414415
Jackson (Andrew) Junior-Senior,2821 E. 7Th St.,90023,No Data,No Data
Jaime Escalante Elementary,4443 Live Oak St.,90201-4207,33.968053,-118.188575
James A. Garfield Community,4343 New York St.,90022-3209,34.039905,-118.172158
James A. Garfield Senior High,5101 East Sixth St.,90022-3209,34.025353,-118.157872
James J. McBride Special Education Center,3960 Centinela Ave.,90066-4905,34.000603,-118.431140
James Jordan Middle,18600 Lanark St.,91335-1233,34.216962,-118.538575
James Madison Middle,13000 Hart St.,91605-4801,34.197534,-118.416004
James Monroe High,9229 Haskell Ave.,91343-3114,34.237885,-118.476373
Jane Addams Continuation,16341 Donmetz St.,91344-3773,34.273788,-118.488150
Jefferson Community Adult,1319 East 41st St.,90011-3301,34.009568,-118.251220
Jennifer Kelley,17800 S. Main St. Ste. 100,90248-3510,33.869319,-118.274680
Jessie Owens Community Day,2400 West 54th St.,90043,33.993217,-118.319514
Jesus Little Soldiers Evangelical School,Information Redacted,91401,Information Redacted,Information Redacted
JETS Yeshivah,16601 Rinaldi St.,91344-3632,34.279905,-118.494116
Joanne's Taylor-Tot Extension,Information Redacted,90019,No Data,No Data
Joaquin Miller Career and Transition Center,8218 Vanalden Ave.,91335-1138,34.219497,-118.549110
John A. Sutter Middle,7330 Winnetka Ave.,91306-2905,34.203871,-118.570938
John Adams Middle,151 West 30th St.,90007-3316,34.022622,-118.272436
John B. Monlux Elementary,6051 Bellaire Ave.,91606-4461,34.180678,-118.409472
John Burroughs Middle,600 South McCadden Pl.,90005-3829,34.063517,-118.337081
John C. Fremont Community Adult,7676 South San Pedro St.,90003-2348,33.969845,-118.269149
John C. Fremont Senior High,7676 South San Pedro St.,90003-2348,33.970022,-118.269449
John F. Kennedy High,11254 Gothic Ave.,91344-3709,34.274661,-118.488455
John H. Francis Polytechnic,12431 Roscoe Blvd.,91352-3723,34.221721,-118.404088
John H. Liechty Middle,650 South Union Ave.,90017-1633,34.055316,-118.270111
John Hope Continuation,7840 Towne Ave.,90003-2632,33.968185,-118.267261
John Marshall Senior High,3939 Tracy St.,90027-3207,34.107762,-118.277569
John Muir Middle,5929 South Vermont Ave.,90044-3713,33.986655,-118.291548
John R. Wooden High,18741 Elkwood St.,91335-1802,34.212967,-118.541646
John Tracy Center,2160 West Adams Blvd.,90018-2039,34.032292,-118.313912
John W. Mack Elementary,3020 South Catalina St.,90007-2921,34.026505,-118.293727
"Johnnie Cochran, Jr., Middle",4066 West Johnnie Cochran Vista,90019-6025,34.042965,-118.327345
Johnson (Dorothy V.) Opportunity High,935 East 42nd St.,90011-3122,No Data,No Data
Jordan High,2265 East 103rd St.,90002-3132,33.943161,-118.231291
Jordan High School Magnet,2265 E. 103Rd. St.,90002,No Data,No Data
Jordan New Technology High,2265 East 103rd St.,90002,33.943161,-118.231291
Jordan-Locke Community Adult,325 East 111th St.,90061-3003,No Data,No Data
Joseph Le Conte Middle,1316 North Bronson Ave.,90028-8415,34.094665,-118.317894
Joseph Pomeroy Widney Career Preparatory and Transition Center,2302 South Gramercy Pl.,90018-1323,34.035908,-118.313268
Judith F. Baca Arts Academy,1536 East 89th St.,90002-1316,33.956325,-118.246015
Judson International School,Information Redacted,90041-2366,Information Redacted,Information Redacted
Julie Korenstein Elementary,7650 Ben Ave.,91605-2728,34.209394,-118.394275
Junior Technologies,Information Redacted,90044-0044,No Data,No Data
Junipero Serra High School,14830 S. Van Ness Ave.,90249-3718,33.916502,-118.317788
Jus Kids Academy,Information Redacted,90047-4848,Information Redacted,Information Redacted
"Just Beginning, Inc.",Information Redacted,90018-3910,Information Redacted,Information Redacted
Just Like Mom's,Information Redacted,90046,No Data,No Data
Justice Street Academy Charter,23350 Justice St.,91304-4402,34.216099,-118.635473
K12 PREPARATORY ACADEMY,Information Redacted,91436-1921,Information Redacted,Information Redacted
Kadima Day School,7011 Shoup Ave.,91307-2335,34.197688,-118.615979
Kagel Canyon,Information Redacted,91042,No Data,No Data
Katherine Johnson STEM Academy,8701 Parkhill Dr.,90045-3437,33.957938,-118.426753
Kennedy Continuation,16341 Donmetz St.,91344,No Data,No Data
Kennedy-San Fernando Community,11254 Gothic Ave.,91344-3709,34.275211,-118.488068
Kenter Canyon Elementary Charter,645 North Kenter Ave.,90049-1946,34.070178,-118.488522
Kentwood Elementary,8401 Emerson Ave.,90045-2890,33.964052,-118.404367
Kessington Academy,Information Redacted,90059-0059,No Data,No Data
Kester Avenue Elementary,5353 Kester Ave.,91411-4022,34.167628,-118.457506
Kester Gifted Magnet,5353 Kester Ave.,91411,No Data,No Data
"KEYSTONE, VAN NUYS",Information Redacted,92313,No Data,No Data
KiD's Preparatory Academy,Information Redacted,90043-1335,Information Redacted,Information Redacted
Kids'  World School,4018 W Ave. 41,90065-3704,34.124450,-118.229220
"Kids' Korner Preschool, Inc.",Information Redacted,91331,No Data,No Data
"KIDS' KORNER PRESCHOOL, INC.",Information Redacted,91331,No Data,No Data
Kidsville U.S.A.,Information Redacted,91324,No Data,No Data
Kidsville USA,8464 Corbin Ave.,91324-4128,34.224050,-118.561960
Kidz Kingdom Academy,13024 Sherman Way,91605,34.200935,-118.416924
Kim Afreeka Village Academy,Information Redacted,Information Redacted,Information Redacted,Information Redacted
Kimet -Kuumba In Motion Expressing Transformation,Information Redacted,90005-3760,Information Redacted,Information Redacted
KINDERCHICKS,Information Redacted,91601,No Data,No Data
Kindergarten Learning Academy,6555 Sylmar Ave.,91401,34.190002,-118.446593
King Jh Mini-Magnet,4201 Fountain Ave.,90029,No Data,No Data
King Learning Academy,Information Redacted,90016,No Data,No Data
King/Drew Medical Magnet High,1601 East 120th St.,90059-3025,33.923831,-118.246208
Kingsley Elementary,5200 West Virginia Ave.,90029-1212,34.091894,-118.302527
KIPP Academy of Innovation,4240 East Olympic Blvd.,90023-3337,34.018588,-118.182176
KIPP Academy of Opportunity,8500 South Figueroa St.,90003-2752,33.961163,-118.282390
KIPP Comienza Community Prep,6410 Rita Ave.,90255-4126,33.981232,-118.223639
KIPP Corazon Academy,8616 Long Beach Blvd.,90280-4142,33.958247,-118.221550
KIPP Empower Academy,8466 South Figueroa St.,90003-2729,33.961931,-118.282680
KIPP Endeavor College Preparatory Charter,1263 South Soto St.,90023-2615,34.027019,-118.219579
KIPP Generations Academy,1415 West Gardena Blvd.,90247-4712,33.882118,-118.300491
KIPP Ignite Academy,9110 South Central Ave.,90002-1743,33.953599,-118.256092
KIPP Iluminar Academy,4800 East Cesar Chavez Ave.,90022-1307,34.040184,-118.161310
KIPP Los Angeles College Preparatory,2810 Whittier Blvd.,90023-1527,34.031652,-118.209616
KIPP Philosophers Academy,1999 East 102nd St.,90002,33.944269,-118.236772
KIPP Promesa Prep,1241 South Soto St.,90023-2652,34.027525,-118.219859
KIPP Pueblo Unido,3759 East 57th St.,90270-2614,33.990858,-118.196418
KIPP Raices Academy,668 Atlantic Blvd.,90022-1118,34.022971,-118.156139
KIPP Scholar Academy,6100 S. Hoover St,90044-5418,33.983921,-118.286882
KIPP Sol Academy,4800 East Cesar Chavez Ave.,90022-1307,34.040184,-118.161310
KIPP Vida Preparatory Academy,4410 South Budlong Ave.,90037-2306,34.003387,-118.295684
Kirk Douglas Continuation,10500 Lindley Ave.,91326-3222,No Data,No Data
Kirk O' The Valley School,19620 Vanowen St.,91335-4945,34.193346,-118.560696
Kittridge Street Elementary,13619 Kittridge St.,91401-1113,34.190359,-118.429750
Knight's Tale School (DBA) is run by Routenstein Royal Group Corp.,Information Redacted,91316,Information Redacted,Information Redacted
Knollwood Preparatory Academy,11822 Gerald Ave.,91344-2849,34.284892,-118.493801
Knowledge and Wisdom Education Foundation,Information Redacted,90011-2634,Information Redacted,Information Redacted
Koguma Youchien,Information Redacted,90717,Information Redacted,Information Redacted
Komitas Day Care,Information Redacted,90027,No Data,No Data
Korean Baptist Church School,Information Redacted,90006,Information Redacted,Information Redacted
Korean Education Center Online School,Information Redacted,91745-6519,Information Redacted,Information Redacted
L.A. INTERNATIONAL CHRISTIAN,Information Redacted,90026-4017,No Data,No Data
L.A. Montessori Academy,Information Redacted,90018,No Data,No Data
L.E.A.R.N,Information Redacted,90731-3207,Information Redacted,Information Redacted
La Puente Valley Adult Correct,15359 East Proctor Ave.,91745-1022,No Data,No Data
LA ROAD Christian School,2241 N Eastern Ave,90032-3221,34.071209,-118.181480
La Salle Avenue Elementary,8715 La Salle Ave.,90047-3320,33.957466,-118.305802
Lafayette Park Primary Center,310 South La Fayette Park Pl.,90057-1604,34.066597,-118.280908
Lake Balboa College Preparatory Magnet K-12,6701 Balboa Blvd.,91406-5531,34.192148,-118.501390
Lake Street Primary,135 North Lake St.,90026-5320,34.067645,-118.271064
Lanai Road Elementary,4241 Lanai Rd.,91436-3614,34.148872,-118.492021
Langdon Avenue Elementary,8817 Langdon Ave.,91343-5004,34.230399,-118.469877
Lankershim Elementary,5250 Bakman Ave.,91601-3101,34.165464,-118.377334
Lanterman (Frank) High,820 Towne Ave.,90021,No Data,No Data
Larchmont Charter,1265 North Fairfax Ave.,90046-5205,34.093570,-118.361887
Larchmont Charter-West Hollywood,1265 North Fairfax Ave.,90046-5205,34.093555,-118.361544
Lassen Elementary,15017 Superior St.,91343-2440,34.246442,-118.459143
Latona Avenue Elementary,4312 Berenice Ave.,90031-1408,34.091592,-118.203081
Laurel Elementary,925 North Hayworth Ave.,90046-7154,34.089028,-118.362776
Laurel Hall,11919 Oxnard St.,91606-3320,34.180381,-118.392857
Laurence School,13639 Victory Blvd.,91401-1735,34.187079,-118.430431
Laurent Academy,Information Redacted,Information Redacted,Information Redacted,Information Redacted
Le Lycee Francais de Los Angeles,Information Redacted,90034,No Data,No Data
Le Lycee Francais de Los Angeles-Century City,10361 West Pico Blvd.,90064-2608,34.047267,-118.416082
Le Lycee Francais de Los Angeles-Elementary and Middle,3261 Overland Ave.,90034-3589,34.027642,-118.414035
Le Lycee Francais de Los Angeles-High,10309 National Blvd.,90034-3703,34.029470,-118.409188
Le Lycee Francais de Los Angeles-Pac Pali,16720 Marquez Ave.,90272-3238,34.047367,-118.545294
Leadership & Public Service Virtual Academy,474 Hartford Ave.,90017-1306,34.055791,-118.263466
Leadership in Entertainment and Media Arts (LEMA),3501 North Broadway,90031-2856,34.073986,-118.202955
Leapwood Avenue Elementary,19302 Leapwood Ave.,90746-1954,33.856074,-118.261721
Learn Academy Mar Vista,12312 Venice Blvd,90066,34.003858,-118.432532
"Learning Academy, The",Information Redacted,91340,No Data,No Data
Learning by Design Charter,7019 South Van Ness Ave.,90047-1659,33.975705,-118.318022
Learning Center Foundation,Information Redacted,91316,Information Redacted,Information Redacted
Learning Individual Studies Academy,Information Redacted,90035-2403,Information Redacted,Information Redacted
Learning Trajectory North,"15515 San Fernando Mission Blvd, Ste A-2",91345-1358,34.272140,-118.469710
Legacy Academy of Jewish Education Inc,14520 Hesby St,91403-1711,34.161759,-118.449577
Legacy Charter High,13536 Lakewood Blvd.,90706-2031,No Data,No Data
Leland Street Elementary,2120 South Leland St.,90731-5224,33.724999,-118.301155
Lemay Street Elementary,17520 Vanowen St.,91406-4314,34.192639,-118.515067
Lenicia B. Weemes Elementary,1260 West 36th Pl.,90007-3947,34.021855,-118.296437
Leo Politi Elementary,2481 West 11th St.,90006-2961,34.050845,-118.286952
Leon Garr Learning Institute,Information Redacted,90062,No Data,No Data
LEWIS METROPOLITAN CHRISTIAN,Information Redacted,90062,No Data,No Data
Lexington Avenue Primary Center,4564 West Lexington Ave.,90029-1915,34.092867,-118.288036
Liberated Learning,Information Redacted,90041-2534,Information Redacted,Information Redacted
Libertas College Preparatory Charter,5101 South Western Ave.,90062-2333,33.996507,-118.309447
Liberty Boulevard Elementary,2728 Liberty Blvd.,90280-2055,33.961770,-118.221725
Liberty High School,Information Redacted,90044-5727,Information Redacted,Information Redacted
Liggett Street Elementary,9373 Moonbeam Ave.,91402-1302,34.240658,-118.445678
LIL' RAINBOW INC. MONTESSORI &,Information Redacted,91040,No Data,No Data
Lillian Street Elementary,5909 Lillian St.,90001-1433,33.986694,-118.239956
LILY KDGN.,Information Redacted,90004,No Data,No Data
LIMAI Academy,Information Redacted,90249-4534,Information Redacted,Information Redacted
Limerick Avenue Elementary,8530 Limerick Ave.,91306-1299,34.225589,-118.583052
Lincoln Community Adult,3501 N. Broadway,90031,No Data,No Data
Lincoln Heights Value,230 North Avenue 26,90031,No Data,No Data
Lincoln High School Magnet,3501 N. Broadway,90031,No Data,No Data
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,6361 Cottage St.,90255-3521,33.981804,-118.233724
Linda Esperanza Marquez High B LIBRA Academy,6361 Cottage St.,90255-3521,33.981804,-118.233724
Linda Esperanza Marquez High C School of Social Justice,6361 Cottage St.,90255-3521,33.981804,-118.233724
Linden,Information Redacted,90046-7208,Information Redacted,Information Redacted
LINDENBROOK,Information Redacted,91607,No Data,No Data
"LINDLEY ACADEMY, THE",Information Redacted,91356,No Data,No Data
Little Acorns Grow,19000 Saticoy St.,91335-2519,34.207947,-118.547319
Little Citizens / Westside Academy #2,Information Redacted,90018-0018,Information Redacted,Information Redacted
Little Citizens / Westside Academy #3,3672 7th Ave.,90018,34.020838,-118.324432
Little Citizens Westside Academy #1,4256 South Western Ave.,90062-1645,34.005762,-118.308817
Little Citizens Westside Academy #3,3666 7th Ave.,90018-4106,34.021022,-118.324431
Little Flower Missionary House,Information Redacted,90031-2824,Information Redacted,Information Redacted
Little Lamb–Lamb of God Christian,Information Redacted,90016,No Data,No Data
Little Scholars Academy,4168 W Slauson Ave,90043-2806,33.988620,-118.347757
Little Scholars Learning Academy,Information Redacted,90745,No Data,No Data
Little Sprouts Language Immersion Preschool,8577 Venice Blvd,90034-2548,34.034877,-118.379322
Little Treehouse Academy,18510 Plummer St,91324-2222,34.242041,-118.537066
Lively private school,Information Redacted,Information Redacted,Information Redacted,Information Redacted
Living Word Christian Academy,Information Redacted,90045,No Data,No Data
Lizzy’s Schoolhouse,Information Redacted,91403-2415,Information Redacted,Information Redacted
LN Media Academy,"5435 Balboa Blvd, Suit 100",91316-1567,34.169728,-118.501977
Locke Continuation,441 E. 111Th,90061,No Data,No Data
Lockhurst Drive Charter Elementary,6170 Lockhurst Dr.,91367-1204,34.182935,-118.647743
Lockwood Avenue Elementary,4345 Lockwood Ave.,90029-2809,34.088773,-118.287965
Logan Academy of Global Ecology,1711 West Montana St.,90026-3311,34.078483,-118.257779
LOLLYPOP LANE PRESCHOOL AND KD,Information Redacted,90280,No Data,No Data
Loma Vista Elementary,3629 East 58th St.,90270-2616,33.989693,-118.200105
Lomita Math/Science/Technology Magnet,2211 247th St.,90717-1503,33.800993,-118.320430
Loren Miller Elementary,830 West 77th St.,90044-5146,33.969363,-118.259675
Lorena Street Elementary,1015 South Lorena St.,90023-2222,34.025494,-118.202419
Lorenz Hillside School,Information Redacted,90710,No Data,No Data
Loreto Street Elementary,3408 Arroyo Seco Ave.,90065-2454,34.087015,-118.216446
Lorne Fundamental Center,17440 Lorne St.,91325,No Data,No Data
Lorne Fundamental Magnet,17440 Lorne St.,91325,No Data,No Data
Lorne Street Elementary,17440 Lorne St.,91325-4459,34.217154,-118.513070
Los Angeles Academy Middle,644 East 56th St.,90011-4660,33.991524,-118.263242
Los Angeles Academy of Arts and Enterprise,1575 West 2nd St.,90026-5816,34.061766,-118.264482
Los Angeles Big Picture High,"700 Wilshire Blvd., Ste. 400",90017-3837,34.048788,-118.257402
Los Angeles Center for Enriched Studies,5931 West 18th St.,90035-4656,34.043550,-118.371290
Los Angeles Christian Academy,4622 Wadsworth Ave,90011-9001,34.001013,-118.258784
Los Angeles Christian School,1620 West 20th St.,90007-1101,34.037811,-118.292356
Los Angeles Community Adult,4650 West Olympic Blvd.,90019-1831,34.055405,-118.332985
Los Angeles Educational Achievement Partnership,20920 Knapp St.,91311,No Data,No Data
Los Angeles Elementary,1211 South Hobart Blvd.,90006-3113,34.048621,-118.305229
Los Angeles H.S. College Incentive Program,4650 West Olympic Blvd.,90019,No Data,No Data
Los Angeles High School of the Arts,701 South Catalina St.,90005-1943,34.059692,-118.295474
Los Angeles Leadership Academy,234 East Avenue 33,90031-1937,34.083354,-118.210813
Los Angeles Leadership Primary Academy,2670 Griffin Ave.,90031-2311,34.077544,-118.211823
Los Angeles Mennonite,Information Redacted,90249-4201,Information Redacted,Information Redacted
Los Angeles Polytechnic High,No Data,No Data,No Data,No Data
Los Angeles Senior High,4650 West Olympic Blvd.,90019-1831,34.056695,-118.333166
Los Angeles Teacher Preparatory Academy,1575 West Second St.,90026-5701,34.061222,-118.263016
Los Angeles Technology Center,3721 West Washington Blvd.,90018,34.040134,-118.325485
Los Angeles Unified Alternative Education,"333 South Beaudry Ave., Fl. 18",90017-5108,34.056109,-118.256986
Los Encinos School,17100 Ventura Blvd.,91316-4003,34.159601,-118.505550
Los Feliz Academy,Information Redacted,90027,No Data,No Data
LOS FELIZ CORNERS,Information Redacted,90027,No Data,No Data
Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,1740 North New Hampshire Ave.,90027-4208,34.102551,-118.293254
Lou Dantzler Preparatory Charter High,"5120 West Goldleaf Circle, Ste. 350",90056,33.988543,-118.368563
Lou Dantzler Preparatory Charter Middle,5029 South Vermont Ave.,90037-2907,33.997337,-118.291523
Louis Armstrong Middle,5041 Sunnyslope Ave.,91423-1445,34.162385,-118.426932
Louisville High School,22300 Mulholland Dr.,91364-4933,34.148822,-118.609893
Lovelia P. Flournoy Elementary,1630 East 111th St.,90059-1908,33.934750,-118.245216
Loving to Learn Enrichment Academy,Information Redacted,90018-3827,Information Redacted,Information Redacted
Loyola High School of Los Angeles,1901 Venice Blvd.,90006-4401,34.044272,-118.296651
Loyola Performing Arts,8821 Villanova Ave.,90045,No Data,No Data
Loyola Village Fine And Performing Arts Magnet,8821 Villanova Ave.,90045-3496,33.958081,-118.420598
Loyola Village Magnet Center,8821 Villanova Ave.,90045,No Data,No Data
Lucille Roybal-Allard Elementary,3232 Saturn Ave.,90255-5440,33.976136,-118.209497
LUMBINI CHILD DEVELOPMENT CENT,Information Redacted,90013,No Data,No Data
"Luther Burbank Middle School Science, Technology, Engineering, Arts and Math Magnet",6460 North Figueroa St.,90042-2803,34.119309,-118.183570
Lycee International de Los Angeles,Information Redacted,90027,No Data,No Data
Lyceum on Denker,Information Redacted,90018,No Data,No Data
LYRIC PRESCHOOL AND KDGN.,Information Redacted,90027,No Data,No Data
M R M Academy,10746 Blix St. #103,91602-1371,34.156388,-118.365416
MacArthur Park Elementary School for the Visual and Performing Arts,2300 West Seventh St.,90057-3903,34.057584,-118.279297
Machon,5870 W. Olympic Blvd.,90036-4657,34.056956,-118.358933
Madison Elementary,9820 Madison Ave.,90280-4319,33.946356,-118.214626
Magnolia Avenue Elementary,1626 South Orchard Ave.,90006-5316,34.043972,-118.288457
Magnolia Science Academy 4,"11330 West Graham Pl., B-9",90064,34.029816,-118.435583
Magnolia Science Academy 5,18230 Kittridge St.,91335-6121,34.188617,-118.529359
Magnolia Science Academy 6,745 South Wilton Pl.,90005-3552,34.058304,-118.315898
Magnolia Science Academy 7,18355 Roscoe Blvd.,91325-4104,34.221858,-118.533643
Magnolia Science Academy Bell,6411 Orchard Ave.,90201-1023,33.978914,-118.199410
Maimonidies Torah Academy–South,Information Redacted,90717,Information Redacted,Information Redacted
Main Street Elementary,129 East 53rd St.,90011-4517,33.994276,-118.273291
Mainsail Academy,Information Redacted,91364-5356,Information Redacted,Information Redacted
Malabar Street Elementary,3200 East Malabar St.,90063-4021,34.044800,-118.194262
Manchester Avenue Elementary,661 West 87th St.,90044-5703,33.958768,-118.286073
Manhattan Place Elementary,1850 West 96th St.,90047-3725,33.949026,-118.310947
Manual Arts Community Adult,4131 South Vermont Ave.,90037-1918,34.008770,-118.292848
Manual Arts High School Magnet,4131 S. Vermont Ave.,90037,No Data,No Data
Manual Arts New Elementary School #1,3737 South Figueroa St.,90037,No Data,No Data
Manual Arts Senior High,4131 South Vermont Ave.,90037-1918,34.008208,-118.291608
Manzanita School and Institute,1717 Old Topanga Canyon Rd.,90290-3934,34.111964,-118.634370
Maor Academy,5464 Washington Blvd,90016-1135,34.037644,-118.362581
Maple Primary Center,3601 South Maple Ave.,90011-2619,34.015363,-118.270586
Mar Vista Elementary,3330 Granville Ave.,90066-2052,34.016202,-118.435204
Maranatha Christian Academy,Information Redacted,91390-5708,Information Redacted,Information Redacted
Marcus Garvey School,5760 6th Ave.,90043-2642,33.989225,-118.323340
Marguerite Poindexter LaMotte Elementary,4410 Orchard Ave.,90037-3018,34.002205,-118.288906
Maria Regina,13510  Van Ness Ave.,90249-2418,33.908870,-118.316834
Marianna Avenue Elementary,4215 East Gleason St.,90063-1423,34.035202,-118.175420
"Marie Fegan Schools, Inc.",Information Redacted,90044,No Data,No Data
"Marie Fegan Schools, Inc.",Information Redacted,90047,No Data,No Data
Marina Academy,Information Redacted,90292-7393,Information Redacted,Information Redacted
Marina del Rey Middle,12500 Braddock Dr.,90066-6808,33.987312,-118.422252
Mariposa-Nabi Primary Center,987 South Mariposa Ave.,90006-1413,34.053015,-118.299007
Mark Twain Middle,2224 Walgrove Ave.,90066-3502,33.999751,-118.448205
Markham Junior Magnet,1650 E. 104Th St.,90002,No Data,No Data
Marlborough School,250 South Rossmore Ave.,90004-3739,34.069794,-118.327146
Marlton,4000 Santo Tomas Dr.,90008-3304,34.009739,-118.344370
Marlton Junior High (Deaf),3920 Santo Tomas Dr.,90008,No Data,No Data
Marquez Charter,16821 Marquez Ave.,90272-3243,34.045794,-118.547349
Martha Escutia Primary Center,6401 Bear Ave.,90201-2301,33.979133,-118.197837
Martin Luther King Jr. Elementary,3989 South Hobart Blvd.,90062-1124,34.011151,-118.307862
Marvin Elementary,2411 Marvin Ave.,90016-1910,34.033692,-118.364518
Mary Immaculate Elementary School,10390 Remick Ave.,91331-3658,34.258200,-118.433905
Mary McLeod Bethune Middle,155 West 69th St.,90003-1823,33.976973,-118.272011
Mary Star of the Sea Elementary,717 South Cabrillo Ave.,90731-3024,33.737451,-118.295426
Mary Star of the Sea High School,2500 North Taper Ave.,90731-1148,33.767235,-118.301411
MARY'S SCHOOLHOUSE,Information Redacted,90027,No Data,No Data
Marylon's Learning Center,Information Redacted,90061,No Data,No Data
Marymount High School,10643 Sunset Blvd.,90077-3623,34.076715,-118.444268
Math and Science College Preparatory,3202 West Adams Blvd.,90018-1832,34.032239,-118.319008
"Math, Science, & Technology Magnet Academy at Roosevelt High",2530 East 4th St.,90033,34.039470,-118.209860
Matlock Preparatory Academy,Information Redacted,90222-1209,Information Redacted,Information Redacted
Matrix for Success Academy,1010 East 34th St.,90011-2527,34.012475,-118.257690
Maurice Sendak Elementary,11414 West Tiara St.,91601-1123,34.178458,-118.379757
Maxine Waters Employment Prep Center,10925 Central Ave.,90059,33.937340,-118.254627
Mayall Street Elementary,16701 Mayall St.,91343-1136,34.253898,-118.495841
Mayberry Street Elementary,2414 Mayberry St.,90026-2318,34.084559,-118.265084
